,venue_id,conversions_per_impression,price_range,rating,popularity,retention_rate
0,1424193000929084737,0.4034916201117318,1,8.6,5.537811281291531,0.38496450000000004
1,-1970346298375932149,0.1914396887159533,1,8.6,0.9660341183903789,0.2500005
2,-3266889597638182283,0.27538177546568215,2,9.0,5.905066922300413,0.30422099999999996
3,-1599030892486223118,0.060618556701030925,2,8.8,0.7547005381380858,0.31437149999999997
4,-1514693057066477057,0.1709515859766277,2,9.2,5.506692230041323,0.32709750000000004
5,5188415623516897594,0.5651188299817185,1,8.2,17.36076312483206,0.621054
6,-3853058847403276971,0.4390477202678287,1,9.0,9.332084213889917,0.42274049999999996
7,5332634774045137434,0.2117497886728656,1,8.8,1.4423698410277639,0.3639705
8,1007590810240705088,0.15143496845104823,2,8.6,2.1768811230455274,0.29713649999999997
9,1861342593691657724,0.1663135593220339,2,8.6,1.3015534107496896,0.19611299999999998
10,6744146359354174703,0.23743016759776536,2,8.6,0.7774316070793119,0.1696425
11,7670521821443414514,0.09839572192513368,1,8.6,0.6235429965794461,0.307017
12,7210371646145622836,0.09728656518861681,1,8.6,0.39645017683754913,0.164835
13,-2823198933827015857,0.3231920199501247,1,8.0,3.9629403690712217,0.2733135
14,6226103407645514933,0.02,2,8.2,0.1236555625758005,0.365853
15,3739596670675833597,0.12081844754790516,2,8.6,3.0385193577202116,0.339081
16,-9079011570477226623,0.12413793103448276,2,8.4,0.06724910491877092,0.24
17,-8833058687174510764,0.0683638953177853,2,8.4,1.6870011692338975,0.2163465
18,2959220355338183958,0.30130800373715355,1,8.2,4.380233411040183,0.39922050000000003
19,-4563727856568079409,0.15752625437572929,1,8.6,2.311379332883069,0.3805035
20,-359844055405230848,0.12937771345875543,1,8.4,0.9586265495980304,0.261702
21,-3711405639791441750,0.08059701492537313,2,8.4,0.03137323253229918,0.5249999999999999
22,7661704027741345124,0.22776280323450138,2,8.6,2.6361503881711292,0.269949
23,-2144582774783336764,0.1232349165596919,1,8.2,0.15751977167258546,0.3082185
24,-168347584931888253,0.2117039586919105,2,8.8,1.8476074279032948,0.2292225
25,1828403598032157832,0.3387096774193548,1,8.6,3.9960202473546995,0.40942049999999997
26,5480327063651634937,0.5001375515818431,1,8.8,4.6719245880447655,0.29475300000000004
27,1908932783551298445,0.1962224554039874,2,9.0,1.9155827650566097,0.2899155
28,8780505009298954453,0.33956512903881325,2,9.0,24.58346950187731,0.323058
29,7486767775154583519,0.1440981093510475,1,8.6,0.5481600906337829,0.2016135
30,-5592544167780755783,0.1894005212858384,1,9.4,2.1882103459044133,0.2991915
31,-7063299792842321049,0.24591988130563797,2,9.0,1.399304269519307,0.246666
